證券代號,證券名稱,date,year,month,day,投信買進股數(總),投信賣出股數(總),投信買賣超股數(總),自營商買進股數(自有),自營商賣出股數(自有),自營商買賣超股數(自有),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),自營商買進股數(總),自營商賣出股數(總),自營商買賣超股數(總),外資買進股數(非自營),外資賣出股數(非自營),外資買賣超股數(非自營),外資買進股數(自營),外資賣出股數(自營),外資買賣超股數(自營),外資買進股數(總),外資賣出股數(總),外資買賣超股數(總)
"=""054699""",復盛永豐97購01  ,20200103,2020,1,3,nan,nan,nan,0,0,0,"108,000","118,000","-10,000","108,000","118,000","-10,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200106,2020,1,6,nan,nan,nan,0,0,0,"108,000","108,000",0,"108,000","108,000",0,nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200107,2020,1,7,nan,nan,nan,0,0,0,"66,000","98,000","-32,000","66,000","98,000","-32,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200108,2020,1,8,nan,nan,nan,0,0,0,"98,000","66,000","32,000","98,000","66,000","32,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200109,2020,1,9,nan,nan,nan,0,0,0,0,"335,000","-335,000",0,"335,000","-335,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200110,2020,1,10,nan,nan,nan,0,0,0,"267,000","10,000","257,000","267,000","10,000","257,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200113,2020,1,13,nan,nan,nan,0,0,0,"55,000","222,000","-167,000","55,000","222,000","-167,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200114,2020,1,14,nan,nan,nan,0,0,0,"173,000","25,000","148,000","173,000","25,000","148,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200115,2020,1,15,nan,nan,nan,0,0,0,"66,000","242,000","-176,000","66,000","242,000","-176,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200116,2020,1,16,nan,nan,nan,0,0,0,"197,000","16,000","181,000","197,000","16,000","181,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200117,2020,1,17,nan,nan,nan,0,0,0,"464,000","536,000","-72,000","464,000","536,000","-72,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200120,2020,1,20,nan,nan,nan,0,0,0,"536,000","364,000","172,000","536,000","364,000","172,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200130,2020,1,30,nan,nan,nan,0,0,0,"2,000",0,"2,000","2,000",0,"2,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200131,2020,1,31,nan,nan,nan,0,0,0,0,"295,000","-295,000",0,"295,000","-295,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200203,2020,2,3,nan,nan,nan,0,0,0,"295,000",0,"295,000","295,000",0,"295,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200204,2020,2,4,nan,nan,nan,0,0,0,0,"92,000","-92,000",0,"92,000","-92,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200205,2020,2,5,nan,nan,nan,0,0,0,"92,000","30,000","62,000","92,000","30,000","62,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200206,2020,2,6,nan,nan,nan,0,0,0,"30,000","149,000","-119,000","30,000","149,000","-119,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200207,2020,2,7,nan,nan,nan,0,0,0,"103,000","15,000","88,000","103,000","15,000","88,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200210,2020,2,10,nan,nan,nan,0,0,0,"15,000","115,000","-100,000","15,000","115,000","-100,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200211,2020,2,11,nan,nan,nan,0,0,0,"60,000","586,000","-526,000","60,000","586,000","-526,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200212,2020,2,12,nan,nan,nan,0,0,0,"545,000","60,000","485,000","545,000","60,000","485,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200213,2020,2,13,nan,nan,nan,0,0,0,"25,000","450,000","-425,000","25,000","450,000","-425,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200214,2020,2,14,nan,nan,nan,0,0,0,"579,000","145,000","434,000","579,000","145,000","434,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200217,2020,2,17,nan,nan,nan,0,0,0,"154,000","106,000","48,000","154,000","106,000","48,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200218,2020,2,18,nan,nan,nan,0,0,0,"87,000","123,000","-36,000","87,000","123,000","-36,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200219,2020,2,19,nan,nan,nan,0,0,0,"93,000","305,000","-212,000","93,000","305,000","-212,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200220,2020,2,20,nan,nan,nan,0,0,0,"327,000","280,000","47,000","327,000","280,000","47,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200221,2020,2,21,nan,nan,nan,0,0,0,"276,000","106,000","170,000","276,000","106,000","170,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200224,2020,2,24,nan,nan,nan,0,0,0,"75,000","22,000","53,000","75,000","22,000","53,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200225,2020,2,25,nan,nan,nan,0,0,0,"32,000","6,000","26,000","32,000","6,000","26,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200226,2020,2,26,nan,nan,nan,0,0,0,"36,000","69,000","-33,000","36,000","69,000","-33,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200227,2020,2,27,nan,nan,nan,0,0,0,"85,000","133,000","-48,000","85,000","133,000","-48,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200302,2020,3,2,nan,nan,nan,0,0,0,"73,000","260,000","-187,000","73,000","260,000","-187,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200303,2020,3,3,nan,nan,nan,0,0,0,"260,000","196,000","64,000","260,000","196,000","64,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200304,2020,3,4,nan,nan,nan,0,0,0,0,"190,000","-190,000",0,"190,000","-190,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""054699""",復盛永豐97購01  ,20200306,2020,3,6,nan,nan,nan,0,0,0,"145,000",0,"145,000","145,000",0,"145,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
